date,donations,is_holiday,holiday_name,is_outlier,is_mco
2006-05-18,423,0,Non-Holiday,0,0
2006-05-19,339,0,Non-Holiday,0,0
2006-05-20,727,0,Non-Holiday,0,0
2006-05-21,916,0,Non-Holiday,0,0
2006-05-22,239,0,Non-Holiday,0,0
2006-05-23,809,0,Non-Holiday,0,0
2006-05-24,666,0,Non-Holiday,0,0
2006-05-25,917,0,Non-Holiday,0,0
2006-05-26,602,0,Non-Holiday,0,0
2006-05-27,380,0,Non-Holiday,0,0
2006-05-28,804,0,Non-Holiday,0,0
2006-05-29,310,0,Non-Holiday,0,0
2006-05-30,383,0,Non-Holiday,0,0
2006-05-31,356,0,Non-Holiday,0,0
2006-06-01,531,0,Non-Holiday,0,0
2006-06-02,550,0,Non-Holiday,0,0
2006-06-03,310,0,Non-Holiday,0,0
2006-06-04,599,0,Non-Holiday,0,0
2006-06-05,175,0,Non-Holiday,0,0
2006-06-06,222,0,Non-Holiday,0,0
2006-06-07,481,0,Non-Holiday,0,0
2006-06-08,323,0,Non-Holiday,0,0
2006-06-09,248,0,Non-Holiday,0,0
2006-06-10,319,0,Non-Holiday,0,0
2006-06-11,709,0,Non-Holiday,0,0
2006-06-12,389,0,Non-Holiday,0,0
2006-06-13,279,0,Non-Holiday,0,0
2006-06-14,233,0,Non-Holiday,0,0
2006-06-15,763,0,Non-Holiday,0,0
2006-06-16,677,0,Non-Holiday,0,0
2006-06-17,847,0,Non-Holiday,0,0
2006-06-18,686,0,Non-Holiday,0,0
2006-06-19,408,0,Non-Holiday,0,0
2006-06-20,467,0,Non-Holiday,0,0
2006-06-21,617,0,Non-Holiday,0,0
2006-06-22,535,0,Non-Holiday,0,0
2006-06-23,476,0,Non-Holiday,0,0
2006-06-24,947,0,Non-Holiday,0,0
2006-06-25,625,0,Non-Holiday,0,0
2006-06-26,341,0,Non-Holiday,0,0
2006-06-27,856,0,Non-Holiday,0,0
2006-06-28,414,0,Non-Holiday,0,0
2006-06-29,462,0,Non-Holiday,0,0
2006-06-30,388,0,Non-Holiday,0,0
2006-07-01,216,0,Non-Holiday,0,0
2006-07-02,582,0,Non-Holiday,0,0
2006-07-03,407,0,Non-Holiday,0,0
2006-07-04,506,0,Non-Holiday,0,0
2006-07-05,452,0,Non-Holiday,0,0
2006-07-06,241,0,Non-Holiday,0,0
2006-07-07,364,0,Non-Holiday,0,0
2006-07-08,611,0,Non-Holiday,0,0
2006-07-09,341,0,Non-Holiday,0,0
2006-07-10,384,0,Non-Holiday,0,0
2006-07-11,901,0,Non-Holiday,0,0
2006-07-12,901,0,Non-Holiday,0,0
2006-07-13,1012,0,Non-Holiday,0,0
2006-07-14,918,0,Non-Holiday,0,0
2006-07-15,663,0,Non-Holiday,0,0
2006-07-16,543,0,Non-Holiday,0,0
2006-07-17,404,0,Non-Holiday,0,0
2006-07-18,522,0,Non-Holiday,0,0
2006-07-19,807,0,Non-Holiday,0,0
2006-07-20,756,0,Non-Holiday,0,0
2006-07-21,502,0,Non-Holiday,0,0
2006-07-22,661,0,Non-Holiday,0,0
2006-07-23,945,0,Non-Holiday,0,0
2006-07-24,504,0,Non-Holiday,0,0
2006-07-25,927,0,Non-Holiday,0,0
2006-07-26,1351,0,Non-Holiday,0,0
2006-07-27,910,0,Non-Holiday,0,0
2006-07-28,867,0,Non-Holiday,0,0
2006-07-29,703,0,Non-Holiday,0,0
2006-07-30,783,0,Non-Holiday,0,0
2006-07-31,167,0,Non-Holiday,0,0
2006-08-01,697,0,Non-Holiday,0,0
2006-08-02,526,0,Non-Holiday,0,0
2006-08-03,618,0,Non-Holiday,0,0
2006-08-04,263,0,Non-Holiday,0,0
2006-08-05,221,0,Non-Holiday,0,0
2006-08-06,801,0,Non-Holiday,0,0
2006-08-07,502,0,Non-Holiday,0,0
2006-08-08,433,0,Non-Holiday,0,0
2006-08-09,813,0,Non-Holiday,0,0
2006-08-10,732,0,Non-Holiday,0,0
2006-08-11,291,0,Non-Holiday,0,0
2006-08-12,752,0,Non-Holiday,0,0
2006-08-13,826,0,Non-Holiday,0,0
2006-08-14,813,0,Non-Holiday,0,0
2006-08-15,1294,0,Non-Holiday,0,0
2006-08-16,661,0,Non-Holiday,0,0
2006-08-17,945,0,Non-Holiday,0,0
2006-08-18,658,0,Non-Holiday,0,0
2006-08-19,474,0,Non-Holiday,0,0
2006-08-20,948,0,Non-Holiday,0,0
2006-08-21,318,0,Non-Holiday,0,0
2006-08-22,726,0,Non-Holiday,0,0
2006-08-23,1084,0,Non-Holiday,0,0
2006-08-24,1093,0,Non-Holiday,0,0
2006-08-25,961,0,Non-Holiday,0,0
2006-08-26,347,0,Non-Holiday,0,0
2006-08-27,687,0,Non-Holiday,0,0
