ds,yhat,yhat_lower,yhat_upper
2006-01-01,1330.8398626605276,848.9935930675764,1851.4393805826355
2006-01-02,-109.04699159554809,-622.4752526339713,356.18711533579693
2006-01-03,188.948444567622,-361.1816081524029,700.6582829183192
2006-01-04,386.4338643417395,-114.58687496272564,903.8454006583949
2006-01-05,552.4669962937762,59.83066563561725,1087.096503046103
2006-01-06,152.77573669148086,-333.77340427845456,637.1567590144236
2006-01-07,644.5676453249351,123.70105619934077,1130.5482607159836
2006-01-08,1347.178424188765,850.7926304510617,1876.7349418656497
2006-01-09,183.1402732965522,-327.74662316211237,658.075309588452
2006-01-10,529.2372037679384,5.78248898073197,1032.73668485318
2006-01-11,714.7840562911028,171.24582339415525,1199.444727216633
2006-01-12,680.2436284778572,165.7779782146917,1175.901734552888
2006-01-13,279.777876766004,-208.16221153798062,798.7503843418941
2006-01-14,761.1175998724983,226.59870660130636,1246.937453016482
2006-01-15,1446.573082665761,956.8542370830361,1942.4394675283538
2006-01-16,262.10668639259507,-274.0789200174921,786.2517792027404
2006-01-17,587.5137042479874,78.31782718080127,1095.4875229861354
2006-01-18,754.894740877478,261.49024265601366,1292.825662484735
2006-01-19,707.0934162314605,225.21718338576937,1205.203254546692
2006-01-20,299.0503610950253,-185.12907524826036,813.8746204985355
2006-01-21,776.4953889858201,269.28125393604944,1295.7841455717064
2006-01-22,1451.4956400512294,942.6571064094853,1955.783163155906
2006-01-23,276.68327716120905,-240.18760531098144,785.9366003193159
2006-01-24,548.9339730742137,27.951939401941218,1037.9828340984336
2006-01-25,653.3168286446797,137.99832230041136,1164.4305041534303
2006-01-26,744.5818195542244,238.0775137141705,1249.6921390620082
2006-01-27,38.58720914922765,-490.2008036728889,519.2976655696732
2006-01-28,233.87724172562707,-269.5558910883597,747.365199909289
2006-01-29,550.0099248197799,39.26200606144132,1081.2375243850468
2006-01-30,-335.09327437720253,-852.9506712040944,186.59853583885962
2006-01-31,77.17153073245163,-428.15461598341267,596.8873125704872
2006-02-01,278.51895305688186,-216.859447592834,802.6190567903167
2006-02-02,641.8838182356277,152.68901583329364,1192.0839211105404
2006-02-03,214.36408694803913,-285.6052752196395,695.2061818594527
2006-02-04,596.8711220592414,75.1401695568137,1098.8937117922926
2006-02-05,1146.435699455426,679.8028640592775,1621.381828989249
2006-02-06,259.71433942368554,-292.13050034471115,776.9021368237413
2006-02-07,572.8717767374188,59.98383583765261,1113.3941874369978
2006-02-08,740.4696464709991,213.20444035862803,1211.4663637110211
2006-02-09,706.1360784603942,177.58789490409777,1216.5445825968056
2006-02-10,316.651804016321,-224.72657803525192,849.1852106607707
2006-02-11,806.3327828694052,324.76792373058527,1302.505653318302
2006-02-12,1487.4132162069263,968.8956684432769,1958.0647274433143
2006-02-13,286.209884544534,-235.41951434009187,815.9977939010124
2006-02-14,592.3713178207119,117.14498815959057,1107.8411292784008
2006-02-15,749.1506509508598,226.00785789624888,1229.2081254047037
2006-02-16,703.2050757723193,181.1625223720451,1221.1739595687459
2006-02-17,303.9567015110754,-219.20772474373456,833.7097258183371
2006-02-18,788.1598061870603,256.8386114409534,1300.5068157289897
2006-02-19,1469.5733623640685,996.2739171270792,1961.3894337335287
2006-02-20,273.73103828187016,-212.05423286851615,800.8453423958142
2006-02-21,586.6867020638812,57.52881658453911,1090.8314628224896
2006-02-22,746.8823417002757,257.57516817308135,1222.0655001710518
2006-02-23,697.9616133241525,190.557678316332,1202.4081054852409
2006-02-24,290.33144800315984,-216.14517372711,796.806707068523
2006-02-25,765.3037379587336,266.96952870057925,1269.3349764803008
2006-02-26,1442.0304186691883,928.1856416236938,1953.5400911982742
2006-02-27,249.40834609492083,-259.4878595122078,761.5818573225245
2006-02-28,573.8720971810118,53.67363402304479,1094.7709956217616
2006-03-01,752.2971871217555,225.40095511786203,1280.6785469026881
2006-03-02,726.1004006249395,196.098344957964,1225.8820665755159
2006-03-03,342.7484585758209,-141.7562733205827,789.7952877387851
2006-03-04,838.8370544722675,287.6802382211831,1369.2370455494245
2006-03-05,1526.9431267023333,1049.470747604411,2012.3797795121345
2006-03-06,329.9282210217766,-165.88428416801136,808.7845976410592
2006-03-07,632.6891995016056,118.27179248636065,1144.8497599441057
2006-03-08,777.5532421146219,272.0340590737124,1319.0496180441303
2006-03-09,716.7981317893751,229.3122232255312,1244.9878308406676
2006-03-10,308.8282694558455,-218.8984827666509,870.6921173712612
2006-03-11,795.5307608876335,324.67978876909666,1321.422718159485
2006-03-12,1486.8782959200885,934.8320811339763,1992.2121674741952
2006-03-13,297.7692141071487,-214.4003473098722,782.7264449136541
2006-03-14,604.9362592637289,147.37755966233615,1146.2095326099636
2006-03-15,746.4138001617424,221.30626438120424,1252.2268410356523
2006-03-16,674.795173779232,164.3476223363689,1194.3179693707843
2006-03-17,251.46066927822466,-244.0420199091074,746.462091304413
2006-03-18,721.6787717927981,199.22599249493942,1237.6605555658784
2006-03-19,1398.3355473009656,901.5217774673055,1898.3821334495017
2006-03-20,198.9702908251079,-285.23611956422604,704.285343585668
2006-03-21,502.50828789485615,-17.390952084099357,1022.0851430755444
2006-03-22,647.5353862153589,155.9149427662831,1177.7152191753698
2006-03-23,584.3833987953722,69.1204327577063,1062.0154162034528
2006-03-24,169.8532050987293,-335.74489408057036,703.205717919161
2006-03-25,644.8379065574732,145.8099971550094,1157.172613441397
2006-03-26,1320.969325775764,803.6295906874897,1849.2279863608073
2006-03-27,118.6597731826331,-419.4591933328282,637.5917744850977
2006-03-28,422.0675998259693,-60.39852429092609,905.9112091000541
2006-03-29,574.254172391763,53.8056933101533,1063.3597277964843
2006-03-30,527.2081725001817,35.71796839180663,1010.6264932252926
2006-03-31,136.75012570558232,-394.49018166370917,641.5195980031895
2006-04-01,641.5853873291709,143.87736122495448,1150.5886727116174
2006-04-02,1350.6745964424726,821.489201492359,1859.77455387499
2006-04-03,180.54244973665777,-335.11182826438795,676.6323424389465
2006-04-04,509.3962427521755,6.036120497034326,998.1115784342797
2006-04-05,673.383428562768,192.1584118663581,1230.5323043752683
2006-04-06,620.0847245621711,119.8559220393761,1181.732226961769
2006-04-07,207.07159959832495,-306.6302562452759,707.9878387263861
2006-04-08,681.5994246397811,173.830504894741,1221.4005229301006
2006-04-09,1364.2591381810935,859.3917541524906,1895.180793307117
2006-04-10,180.2273540143717,-334.64579105435723,650.5681016937463
2006-04-11,509.0184628553897,8.0373701679244,1025.1606711802044
2006-04-12,680.9536411427691,184.53635723856925,1196.9940441101921
2006-04-13,634.9383602907358,159.89783629795758,1125.262523475771
2006-04-14,222.06843010437126,-280.69590065429713,711.2065826295797
2006-04-15,687.8270087292276,170.24969717175296,1173.8349053449456
2006-04-16,1354.8845531366526,834.0848199142775,1838.8612461473224
2006-04-17,151.93537755421568,-360.03328836149234,641.0004062349915
2006-04-18,461.7907782756515,-70.09066129732965,1001.6475125148362
2006-04-19,617.6573123640604,103.51835055278927,1123.2907956519769
2006-04-20,561.0924412302581,86.48182097039553,1103.4442844614723
2006-04-21,144.89445722095684,-352.4797244857086,665.9484264171571
2006-04-22,613.9005388130668,104.87116076373684,1112.242457021946
2006-04-23,1287.2795511639238,787.7397543592451,1785.9179879089484
2006-04-24,88.96141024858889,-408.1923854457732,574.0957629665897
2006-04-25,398.743327722726,-142.75618215272573,915.6651358449301
2006-04-26,550.7691637803903,15.879903344830414,1065.3186922770647
2006-04-27,491.0611231150417,-21.71219162219528,1047.2400560096219
2006-04-28,185.6013901773448,-326.9024427673238,693.3027146255881
2006-04-29,565.4966936638801,108.93186988916625,1095.0714175090943
2006-04-30,1123.0250081334732,600.3802123969192,1654.615089902607
2006-05-01,1838.2062326622681,1321.6809072000888,2344.010753381318
2006-05-02,116.89268228366325,-378.498161737719,667.0890856049044
2006-05-03,406.56220365723937,-131.5036285404756,929.8490501759501
2006-05-04,521.931280747536,-0.46880054213257294,994.6528815382358
2006-05-05,196.90409085910449,-269.96766962136866,724.4988015993848
2006-05-06,684.0196523203268,170.35171720343985,1187.6857060023285
2006-05-07,1366.7252468958873,854.1628877022376,1860.4519773461627
2006-05-08,172.37638798326378,-331.13098885681137,685.2960956519522
2006-05-09,589.5940504317542,91.39986821162391,1111.0114088281684
2006-05-10,642.4781855246828,112.6181768277901,1151.2650862776936
2006-05-11,613.7536276897862,97.4162760470971,1090.2023555639696
2006-05-12,1401.8147766588932,908.942367111557,1919.869707935795
2006-05-13,552.2183490402534,20.752070076672055,1035.7153427109922
2006-05-14,1289.6061561639417,784.101766985312,1828.1802560316069
2006-05-15,251.48330435464248,-243.25984828737032,735.9424763689544
2006-05-16,528.2468992158433,-11.255165358312784,1014.472198186251
2006-05-17,677.6199237005869,157.39539836270694,1195.1549549335523
2006-05-18,623.5468909239285,101.79422114261635,1139.6623692855171
2006-05-19,217.65965754379783,-320.3984137281238,747.5966555816693
2006-05-20,696.5456293783401,190.18835680265695,1167.1795163071781
2006-05-21,1372.034259477295,877.4901837888457,1891.6068130816373
2006-05-22,168.03818172379232,-340.8151710224207,703.430623757991
2006-05-23,470.93497443826317,-16.835248079681644,977.6678757486568
2006-05-24,621.2101279763507,95.65110117710267,1164.435953616587
2006-05-25,564.4707414863594,55.91886190100039,1092.3795928620302
2006-05-26,151.31122244738071,-350.7550486476569,660.6424182261186
2006-05-27,621.3845178044054,124.48595325408665,1135.570353328118
2006-05-28,1291.915956581066,772.7394947896092,1793.0622361156452
2006-05-29,91.42222990245386,-364.71330355651554,630.5385848341011
2006-05-30,408.02851191231514,-119.50112756742682,905.3037186464499
2006-05-31,581.2904332170465,51.56807927503306,1075.7775151340209
2006-06-01,554.6363691955472,39.276135991465765,1083.3601879952196
2006-06-02,175.9570711986588,-311.9850689570712,695.2419704361428
2006-06-03,680.9450947058721,158.95567944642525,1219.2586056993061
2006-06-04,1380.7639957696229,883.2543664338879,1901.343458378067
2006-06-05,196.87136429997372,-277.28701317059637,691.2099702208978
2006-06-06,512.8092237027753,-15.095526102919841,1048.1912245609608
2006-06-07,669.6843036901612,109.64873132441554,1144.7910644854855
2006-06-08,619.2565485315565,157.96443185927365,1167.2986378075561
2006-06-09,220.81655205949517,-314.05560380035286,739.921729735101
2006-06-10,718.4732576304453,195.26093095200258,1189.4548103433117
2006-06-11,1424.4637968703566,935.5911093238782,1934.4876316991758
2006-06-12,254.19499363239441,-238.91720605602836,750.5296536228352
2006-06-13,582.3249218391238,78.17037146140385,1069.0568851437006
2006-06-14,743.2980298834104,223.41536435325628,1239.9693636841748
2006-06-15,686.9431608229482,189.7825350982241,1166.3042457443862
2006-06-16,274.5041188277234,-228.6992878712404,777.8217611729038
2006-06-17,753.5177195754673,208.78722358460422,1302.831238958336
2006-06-18,1439.4674922649695,923.2670853826328,1941.2473282989981
2006-06-19,250.6361513742474,-208.4715374831678,775.788094445582
2006-06-20,564.3657947586684,62.73223832754702,1081.2592953034477
2006-06-21,716.8762098308291,184.45386112482512,1199.013919990229
2006-06-22,657.4620493104704,147.7687261248918,1171.1059517038034
2006-06-23,244.0132232542274,-277.8836761101382,745.5622896856142
2006-06-24,719.4816815084503,223.43131209810178,1181.8545398052652
2006-06-25,1396.5432290415915,905.6270204673411,1906.7581301600026
2006-06-26,194.6452745563642,-286.1044229556997,689.0154969197256
2006-06-27,495.83665849946607,8.519495473821529,1003.8236955791457
2006-06-28,641.8445082509312,151.58003082426234,1132.5442986088872
2006-06-29,585.4031919223962,80.99383627346816,1103.3327918727684
2006-06-30,184.81990469800235,-315.09085277458274,667.9185385741258
2006-07-01,681.4757023121607,148.35746654607348,1182.9646691697242
2006-07-02,1385.7741394781376,858.5640770309404,1887.4170144283291
2006-07-03,214.13720551348928,-297.5709619911511,713.9861037468871
2006-07-04,543.7746874660402,43.013682476320476,1033.8271152175316
2006-07-05,709.6813996246158,213.3067507624717,1190.8961820620325
2006-07-06,658.3687197472676,163.4525239248462,1160.298378560518
2006-07-07,246.39298270014217,-261.88488045371656,709.4110562178109
2006-07-08,720.3538652008253,228.8316367288287,1235.8028995348834
2006-07-09,1401.269061024294,912.8569732845076,1945.4793536257148
2006-07-10,216.24399797841738,-290.9282297227379,742.293414095217
2006-07-11,547.5248586163227,23.008686785862825,1062.8513534816052
2006-07-12,727.2530179138515,231.22831952422047,1211.2240976254648
2006-07-13,693.7396981033922,183.42632675410474,1229.457679358288
2006-07-14,295.1584633066937,-169.94228335919897,802.4003227509439
2006-07-15,773.6213548882542,291.0217792710949,1278.981353724881
2006-07-16,1450.2954835642026,928.6277629319205,1964.471475528776
2006-07-17,255.12877151335448,-277.245098918218,786.2612658172958
2006-07-18,573.6512767044636,39.120969828230685,1065.542584573276
2006-07-19,740.8582921053161,236.54288166526052,1259.1137535160574
2006-07-20,697.6816947423235,205.69513831390893,1194.4755987433239
2006-07-21,294.50649076491425,-206.34205625180337,833.6638346035304
2006-07-22,774.0532829827617,280.4238507664317,1282.274587849953
2006-07-23,1455.3208774181319,950.4835588568403,1951.9074910131883
2006-07-24,263.8041345817571,-211.461062796006,771.5434108977194
2006-07-25,580.8133258260726,92.37223924747938,1076.7231329611577
2006-07-26,740.2697101627512,227.11507345584852,1256.4320205437764
2006-07-27,686.1777435052863,195.84834025068642,1210.7108564454472
2006-07-28,274.3686872206034,-220.7225746621186,819.5312947264301
2006-07-29,752.2594460328105,222.60911599730557,1231.7089078105364
2006-07-30,1440.727904489503,918.3065404138424,1944.1892285112806
2006-07-31,264.5060811894314,-241.3111334124935,782.4083305841634
2006-08-01,602.9234040491176,150.26417117642887,1131.2834300734378
2006-08-02,787.4207090136523,297.7633731339183,1258.4892648029781
2006-08-03,758.2844551109366,256.55910619223874,1303.9342465570592
2006-08-04,365.53898837744487,-164.84440023806718,912.7975573790777
2006-08-05,849.8024153346157,363.988334991404,1357.2500171370161
2006-08-06,1527.6280773021394,1020.3956321429788,2036.3587629471665
2006-08-07,325.5489390774611,-146.1969049983985,851.7003932650899
2006-08-08,631.4602911746164,155.80752132511816,1108.998918021755
2006-08-09,788.4152192442294,291.9145721673976,1324.2900156112578
2006-08-10,745.3013918048518,222.6140448488891,1230.4156117649738
2006-08-11,353.3690572365162,-139.46303171023084,837.0760210003685
2006-08-12,847.301401544041,325.22743931320275,1378.9066474088438
2006-08-13,1534.8442241162375,1034.759435988111,2008.1121061885933
2006-08-14,335.90332832323406,-187.73784188330933,828.1171925970249
2006-08-15,636.4360392816947,146.77815652701898,1143.0354128238412
2006-08-16,781.4002752639751,254.13013714765114,1306.043202731317
2006-08-17,723.0233044916297,226.19885141266312,1241.6787651695943
2006-08-18,315.67632110444276,-210.19829742364135,835.012061713576
2006-08-19,796.759502305147,284.75962947907055,1297.896351297399
2006-08-20,1476.5149624695314,968.5659668839264,1990.956190305381
2006-08-21,276.4127361375968,-255.23649253555854,828.4849799775922
2006-08-22,581.6474796926924,53.66055148487712,1129.7513503004761
2006-08-23,733.5838430871629,251.14571348797313,1243.5834137981205
2006-08-24,679.6206972348991,155.30554763644525,1201.3798910886267
2006-08-25,271.08063648333496,-225.48653689625974,798.2313093111383
2006-08-26,746.297010598021,240.2118949511374,1269.6342465294333
2006-08-27,1420.0029059203575,926.1590337645059,1901.6403479347102
2006-08-28,229.44304847488553,-273.7406478974035,733.329846775
2006-08-29,545.0454655106989,28.57854225440576,1035.6967932919902
2006-08-30,631.6483412692711,118.35429185491293,1136.0494241881777
2006-08-31,1273.778865737733,749.473442265052,1760.9276627311408
2006-09-01,-23.43422033557863,-534.0296375935136,458.22947976805483
2006-09-02,512.1749260431872,4.704264228807213,1000.2006602762708
2006-09-03,1394.4182705618198,902.6849433422071,1912.3963528815555
2006-09-04,308.4483928653012,-169.05930985085385,834.0283227471459
2006-09-05,621.5862284827982,89.88227529093417,1123.0912492458503
2006-09-06,772.483380778537,281.73635639495336,1296.8190330397515
2006-09-07,712.2433370490897,185.60757979599677,1230.2269474594082
2006-09-08,300.6514734728672,-226.32638128615835,842.6016800226062
2006-09-09,783.8804013055976,300.6885127776012,1287.2665023266668
2006-09-10,1477.0968465936035,993.3106984368638,1979.5442319033195
2006-09-11,297.7829097070767,-226.54750233562768,749.5258400863981
2006-09-12,620.3074705503413,81.83434508580127,1113.094232815763
2006-09-13,821.5846445864869,314.2709441202938,1318.900749559633
2006-09-14,568.3959678429725,100.86461558246346,1100.8324062701777
2006-09-15,77.24981787667491,-446.7078091041065,572.2990721629957
2006-09-16,1108.3609036929417,610.9962356049969,1600.368077176995
2006-09-17,1201.8935410853665,684.0858324735786,1680.9070465734994
2006-09-18,341.31055643730065,-140.03222270519092,867.7539577206899
2006-09-19,581.767111148926,54.44168999574504,1087.47565593215
2006-09-20,700.4923283004425,183.61105196865168,1169.671144674429
2006-09-21,639.1170082210534,120.3729008582988,1173.4251926306429
2006-09-22,223.33936764456325,-295.93146972403554,757.3924871719564
2006-09-23,697.8543645064808,212.5429026595984,1191.368807543669
2006-09-24,1376.965582274868,831.5520615712439,1846.3112670216956
2006-09-25,179.94619943061616,-345.0952369602156,690.1381751437629
2006-09-26,486.80820555671903,-18.102108057432634,970.9183883236941
2006-09-27,636.9682998314902,146.92817986000915,1104.7142515206492
2006-09-28,582.4013818443761,85.38233898451007,1119.972874199568
2006-09-29,182.740751894252,-359.52437098127194,693.888955378421
2006-09-30,681.7077652085841,168.28684999016,1181.104252172798
2006-10-01,1391.41158734475,895.7586215148967,1929.8611880966603
2006-10-02,228.43429425792482,-292.9743147066097,778.7335093258185
2006-10-03,568.867639279112,88.79637816006284,1084.8448286030841
2006-10-04,746.132837567766,227.48741015637404,1206.6750526005983
2006-10-05,705.2358687269962,149.94653450337057,1218.2268160119672
2006-10-06,301.33801163691777,-226.36789028751235,801.8904068306564
2006-10-07,779.8402432094182,262.89844530661856,1286.1504949874584
2006-10-08,1461.3251579605007,970.1074182424861,2015.358966742333
2006-10-09,273.9254399008332,-226.60754073007166,784.1283465866237
2006-10-10,602.3042283603453,91.14518656246489,1110.993323274346
2006-10-11,781.1107731204726,250.10879203003392,1289.8909697458068
2006-10-12,749.4494818939256,224.8618505213679,1240.8312467781195
2006-10-13,353.7370761687952,-154.25834520145887,845.1964556926131
2006-10-14,832.8376294398597,340.44639139983235,1345.793073043645
2006-10-15,1505.5102379270493,1006.7591507430442,1987.1125621300375
2006-10-16,301.927426547388,-200.2154307019231,784.4025480662351
2006-10-17,439.31426734779905,-39.768581467614204,943.3649809839216
2006-10-18,375.6848123755471,-86.16372784595225,893.3191367599118
2006-10-19,378.25459338121277,-144.36849040716794,889.0028312487186
2006-10-20,-111.18293124235049,-576.8203004420011,396.0373119676395
2006-10-21,466.09551656920917,-7.186437609220687,977.8690679515386
2006-10-22,703.5752304370233,207.60069832550082,1203.465334537911
2006-10-23,-867.0262631422222,-1347.2743586131187,-357.56055462351475
2006-10-24,-933.5942286925032,-1407.7292084280216,-418.53319608064515
2006-10-25,-391.9505436644615,-876.210906615867,75.51617307515876
2006-10-26,32.064591377909665,-480.90298660185414,533.4605514829408
2006-10-27,-158.7119246468851,-646.0360829328448,363.4927042030623
2006-10-28,439.08304758061155,-67.08582895009489,952.2031167622881
2006-10-29,1172.011945663362,677.9183584730206,1707.5474774392467
2006-10-30,147.02678690812104,-356.77007730672125,631.1979368200639
2006-10-31,555.0429089102461,37.060035704074096,1049.2840164883817
2006-11-01,717.0489800076609,223.63074831900337,1210.8571593576069
2006-11-02,690.2780196557436,160.8119194200343,1221.4430087591709
2006-11-03,302.4606935258011,-207.13258443467407,799.2596153783733
2006-11-04,792.7689652123169,295.45243194194103,1315.011018275988
2006-11-05,1476.4035467505487,987.5951023325022,1998.9136659660956
2006-11-06,278.6177605599743,-260.5164831481273,782.728113323538
2006-11-07,586.4133771532744,114.76696501034569,1117.7433326509706
2006-11-08,743.0660989485106,239.47535041150502,1248.690688555406
2006-11-09,699.2278617715236,150.49141483217932,1204.525460464661
2006-11-10,308.7603862823188,-183.99671599545675,793.9798088618114
2006-11-11,808.0942006820026,280.2378325320213,1308.2315045665582
2006-11-12,1504.3572113354946,1007.0566395837764,2044.7477774333843
2006-11-13,314.558764912313,-167.44101251246116,813.9158573286696
2006-11-14,621.358986961852,130.85539263439412,1089.2690438527168
2006-11-15,768.3317155127983,292.4116995287953,1262.8492892128295
2006-11-16,709.1182815904245,226.77505075654807,1204.254919274587
2006-11-17,301.004880022674,-215.0409275262095,800.8247997394247
2006-11-18,783.4059704659966,280.1163424506723,1310.826585499242
2006-11-19,1466.1855932251997,985.5011119464272,1975.2267583762555
2006-11-20,268.6619899286279,-193.13910969447423,790.5134505884097
2006-11-21,574.1803487146035,74.70624708694531,1075.7482946297985
2006-11-22,724.199484770172,218.70840618880544,1223.0599434402488
2006-11-23,667.9361923852076,169.10549954583018,1175.9087575521544
2006-11-24,258.4598892577831,-254.72065313505578,780.9273715186315
2006-11-25,734.0885411373944,227.99018658644673,1247.894219146981
2006-11-26,1407.7116888658732,903.294779704122,1948.478340754362
2006-11-27,204.0237642899815,-299.7314548482515,713.5668305708822
2006-11-28,510.97556960661905,5.862909909868147,1011.3270461516031
2006-11-29,671.7967121707846,213.58645821869356,1212.9020992562312
2006-11-30,634.8188521445121,114.19125979981533,1108.021288984579
2006-12-01,250.9983163873777,-255.66668196163792,724.0572494920889
2006-12-02,756.0348285681162,247.09886354297547,1285.3154746420435
2006-12-03,1458.961122525116,929.9630278012206,1954.4003166072932
2006-12-04,278.52954802894334,-201.4307561908667,769.6102199584408
2006-12-05,595.7651286227683,90.90569537918505,1125.4243612257048
2006-12-06,749.4584420970801,280.55290946503703,1225.4049617196904
2006-12-07,689.6440378471912,179.1696278053247,1232.4320115222747
2006-12-08,275.7659136432552,-259.0588715832318,780.0297357246912
2006-12-09,755.0805404827988,219.58862529148013,1253.7400671234725
2006-12-10,1445.1911663175038,947.9933736134795,1962.9281138716406
2006-12-11,266.07149262574444,-239.6212520954935,784.2144033185976
2006-12-12,592.8337240931764,89.3282473514839,1100.2907302301794
2006-12-13,755.5093026535719,236.25660110443113,1194.2368025391515
2006-12-14,697.5791241791393,188.3648093672319,1184.0223226865967
2006-12-15,276.6458003448781,-217.7633868565417,814.9191556133534
2006-12-16,741.9874797058538,219.89265798560513,1264.498948246362
2006-12-17,1414.68061586059,901.0184333479037,1922.3415081069772
2006-12-18,217.96611833173256,-254.51452776281948,724.6314308451194
2006-12-19,529.8275147489439,11.002606385691921,1053.3782965188839
2006-12-20,682.9500281219852,186.83709030143368,1207.1468927656394
2006-12-21,622.5342484861603,101.8077883295197,1154.3576246571238
2006-12-22,97.15673013008438,-406.85518170035704,619.6145924893867
2006-12-23,484.7051963828982,-9.787919194672005,1002.8233579083304
2006-12-24,1026.1598010470757,476.39786252340934,1549.7206467430558
2006-12-25,-84.25209646944495,-622.3414712608386,389.91339468766876
2006-12-26,195.4041557424165,-311.7479546416409,738.5891115478738
2006-12-27,456.51169985909786,-29.841500980018914,939.8610900146916
2006-12-28,605.8484781490624,60.45905016689279,1116.298213047062
2006-12-29,1.7103598127191617,-487.4900809503278,527.8248180912888
2006-12-30,0.8836878966156974,-551.5066691281613,475.1174486547037
2006-12-31,135.2978508333524,-403.1333573108089,677.429655722717
2007-01-01,-329.0049767570789,-827.4398960872481,171.74755685708803
2007-01-02,-17.231389427485055,-549.4765945284665,459.24708537141464
2007-01-03,247.46249068381434,-224.24158091550873,753.5004098429569
2007-01-04,499.3192684700751,-9.295879029742185,953.1990371141925
2007-01-05,316.1382857976527,-193.3176872112161,830.359271208682
2007-01-06,804.3953506085444,292.91615437689467,1275.1572132960064
2007-01-07,1493.5892772814864,973.7665346268545,2018.428594406137
2007-01-08,312.12711915186316,-181.61086273676932,851.458382255666
2007-01-09,646.4684287942453,157.69721627970338,1191.8135859524518
2007-01-10,833.884360580849,341.62571434717427,1337.589072539306
2007-01-11,815.2140995776464,326.4417921310027,1339.3995022731774
2007-01-12,436.22050155513153,-90.56922018820387,953.9077918021089
2007-01-13,932.812284329465,442.6196919842993,1435.8558559561232
2007-01-14,1620.3708817014026,1120.0039314479377,2127.9878502951647
2007-01-15,427.58491325353225,-112.6050288790051,948.0713032851785
2007-01-16,743.9063553308291,251.28435811835422,1248.296465644863
2007-01-17,910.0546890202036,418.5145360542002,1432.7847114291974
2007-01-18,869.8984290175023,357.8857079924958,1442.7091967313274
2007-01-19,472.0036735257498,-46.6868292799507,995.053833612428
2007-01-20,954.6764242375898,438.14959179345556,1453.4285415884458
2007-01-21,1634.091801635158,1127.9666902247513,2160.7582205672747
2007-01-22,436.950598424597,-78.62311830519032,945.4514037294673
2007-01-23,748.4237569140615,236.49313326637295,1277.1168316843823
2007-01-24,905.1709589223747,402.8326821935442,1429.144508539946
2007-01-25,850.1313342894344,326.1414838882113,1328.118377069046
2007-01-26,435.06993755724227,-78.68609065018437,912.8972047741063
2007-01-27,903.8446262838181,397.4489531993072,1401.466360354187
2007-01-28,1577.4096234146336,1050.1245966931285,2085.3992204649276
2007-01-29,384.40330132046796,-110.2799645988163,879.172154860656
2007-01-30,709.2670167545159,230.4023531294227,1243.6449609753477
2007-01-31,886.6872452092007,403.1284275580218,1409.9237591589924
2007-02-01,857.1049114438149,380.9784966649667,1378.6559506275194
2007-02-02,468.52463710446335,-34.235839999897294,989.5904733882986
2007-02-03,958.9315819983384,427.0526590328073,1466.4767941409411
2007-02-04,1642.3938570242121,1124.234486701236,2154.9425032792215
2007-02-05,443.1187220967421,-61.6197609637321,941.2829282290907
2007-02-06,747.2253356994939,220.91815822961536,1264.3418266942945
2007-02-07,897.8293348487285,409.1798261552386,1377.734480585889
2007-02-08,846.8369202425107,324.85351938255155,1353.075718601359
2007-02-09,450.7001472047496,-88.9629142140407,963.7385559157924
2007-02-10,948.4730750558966,437.8168087857718,1462.4656194303584
2007-02-11,1642.181087638584,1151.786856752977,2159.4996678625353
2007-02-12,477.8091726824238,-42.19860230227998,983.1266930642793
2007-02-13,752.719255680079,226.67848443898666,1272.6175907212366
2007-02-14,857.7261830952398,332.649888371995,1373.10349786818
