Metric,Value
MAE,324.71187194663514
RMSE,406.79624837666375
MAPE_raw,inf
MAPE_adjusted,25.413112270067185
sMAPE,21.84476846849124
Naive_MAE,517.3981302385558
Naive_RMSE,681.2120144010726
