ds,yhat,yhat_lower,yhat_upper,risk
2026-01-01,1775.8980263051258,1253.3567498158484,2306.9380722080573,1
2026-01-02,1105.2641719020125,615.6012343179899,1603.0220239645432,1
2026-01-03,1557.3454998404966,1034.541613816461,2065.6068885184877,1
2026-01-04,2270.119848541491,1758.3929327827382,2736.8541947021804,0
2026-01-05,1289.472176975139,763.9384347550025,1791.2547307551374,1
2026-01-06,1608.682150448054,1059.547552924096,2102.611415286161,1
2026-01-07,1775.9691042013396,1228.286573563791,2243.1810617440124,1
2026-01-08,1734.9948134110512,1238.7904596163996,2260.6130358708274,1
2026-01-09,1336.164707993034,861.0205654254698,1812.3924792110456,1
2026-01-10,1820.7685152567387,1301.985969996446,2356.3450353100825,1
2026-01-11,2507.914921557121,2023.6012478722137,3023.518641466023,0
2026-01-12,1326.436675207841,814.7650555158809,1864.7358881749208,1
2026-01-13,1662.6842620866244,1164.6854219327681,2175.101672338733,1
2026-01-14,1853.4306314341088,1331.2109542940445,2358.1982051788978,1
2026-01-15,1839.9736333786811,1280.7554117475856,2346.2279968538396,1
2026-01-16,1469.647335671025,972.8424937271566,1967.6858640393652,1
2026-01-17,1978.904182867456,1451.7685795515774,2493.853956034753,1
2026-01-18,2680.1707779770327,2178.3310242014186,3198.7048624789563,0
2026-01-19,1496.1550420360545,983.3598920151902,1969.842960388791,1
2026-01-20,1811.6008993928272,1359.0130162093358,2335.1555544299854,1
2026-01-21,1968.6873194957293,1453.3184427314657,2477.315186837467,1
2026-01-22,1919.5525873905042,1409.344877351787,2407.1473695407385,1
2026-01-23,1522.4741309549818,1024.8780766391617,2022.300241816358,1
2026-01-24,2019.228131877358,1525.0342714622552,2528.789759612737,0
2026-01-25,2719.695533181178,2208.6888507940016,3252.7947347734153,0
2026-01-26,1538.7047399619958,993.0263120166501,2066.832762099258,1
2026-01-27,1852.9424317106311,1363.1089376387042,2400.834858373682,1
2026-01-28,2000.4221953191716,1499.380545682878,2479.7866998791587,0
2026-01-29,1933.7425850473712,1431.94160838969,2464.1710628865303,1
2026-01-30,1514.315097272768,1009.1824961335178,2034.1177639033676,1
